"RANKING","PAIS","EDAT","TORNEJOS","TITOLS","GUANYS_IND","WIN","LOSE","ATP","GUANYSNORM","GUANYSDISC"
391,"URU",25,22,0,15842,0,0,"NOATP",-0.197,"BAIX"
392,"USA",23,27,0,24088,0,0,"NOATP",0.095,"BAIX"
393,"ESP",22,27,0,18467,0,0,"NOATP",-0.104,"BAIX"
394,"UKR",24,28,0,14735,0,0,"NOATP",-0.236,"BAIX"
395,"FRA",22,10,0,5501,0,0,"NOATP",-0.563,"BAIX"
396,"FRA",22,15,0,12010,0,0,"NOATP",-0.333,"BAIX"
397,"AUS",23,20,0,25195,0,0,"NOATP",0.135,"BAIX"
398,"ITA",27,24,0,14764,0,0,"NOATP",-0.235,"BAIX"
399,"ARG",23,25,0,12063,0,0,"NOATP",-0.331,"BAIX"
400,"ESP",28,17,0,15930,0,0,"NOATP",-0.194,"BAIX"
401,"JPN",20,22,0,13738,0,0,"NOATP",-0.271,"BAIX"
402,"JPN",29,28,0,16952,0,0,"NOATP",-0.158,"BAIX"
403,"GBR",27,16,0,63225,0,1,"ATP",1.482,"MIG"
404,"COL",33,10,0,22400,1,1,"ATP",0.036,"BAIX"
405,"MON",21,28,0,17179,1,3,"ATP",-0.149,"BAIX"
406,"ESP",22,23,0,12022,0,0,"NOATP",-0.332,"BAIX"
407,"CZE",28,24,0,14609,0,0,"NOATP",-0.241,"BAIX"
408,"TUR",21,25,0,15630,1,1,"ATP",-0.204,"BAIX"
409,"AUT",21,27,0,14002,0,0,"NOATP",-0.262,"BAIX"
410,"FRA",21,24,0,49308,0,0,"NOATP",0.989,"MIG-BAIX"
411,"AUS",32,14,0,21858,0,0,"NOATP",0.016,"BAIX"
412,"GBR",23,15,0,19695,0,0,"NOATP",-0.06,"BAIX"
413,"FRA",19,24,0,15591,0,0,"NOATP",-0.206,"BAIX"
414,"USA",22,17,0,59260,0,1,"ATP",1.342,"MIG"
415,"ITA",22,19,0,31850,0,1,"ATP",0.37,"MIG-BAIX"
416,"ARG",22,23,0,18332,0,0,"NOATP",-0.109,"BAIX"
417,"GER",25,13,0,10120,0,0,"NOATP",-0.4,"BAIX"
418,"FRA",30,21,0,12479,0,0,"NOATP",-0.316,"BAIX"
419,"BEL",21,24,0,14616,0,0,"NOATP",-0.24,"BAIX"
420,"ARG",24,24,0,11111,0,0,"NOATP",-0.365,"BAIX"
421,"IND",20,26,0,17737,0,0,"NOATP",-0.13,"BAIX"
422,"ECU",28,17,0,12123,1,1,"ATP",-0.329,"BAIX"
423,"ITA",19,18,0,12793,0,0,"NOATP",-0.305,"BAIX"
424,"FRA",27,22,0,22184,0,0,"NOATP",0.028,"BAIX"
425,"POL",33,7,0,9908,0,0,"NOATP",-0.407,"BAIX"
426,"ESP",39,18,0,32325,0,0,"NOATP",0.387,"MIG-BAIX"
427,"USA",23,20,0,11832,0,0,"NOATP",-0.339,"BAIX"
428,"COL",27,21,0,13522,0,0,"NOATP",-0.279,"BAIX"
429,"FRA",25,24,0,13887,0,0,"NOATP",-0.266,"BAIX"
430,"ITA",21,27,0,12698,0,0,"NOATP",-0.308,"BAIX"
431,"NED",32,13,0,12794,0,0,"NOATP",-0.305,"BAIX"
432,"NED",26,16,0,12511,0,0,"NOATP",-0.315,"BAIX"
433,"SRB",23,18,0,27755,0,1,"ATP",0.225,"BAIX"
434,"AUT",26,23,0,9246,0,0,"NOATP",-0.431,"BAIX"
435,"ESP",23,17,0,13703,0,0,"NOATP",-0.273,"BAIX"
436,"GER",24,19,0,12862,0,0,"NOATP",-0.302,"BAIX"
437,"FRA",21,22,0,13713,0,0,"NOATP",-0.272,"BAIX"
438,"ZIM",27,25,0,12279,0,0,"NOATP",-0.323,"BAIX"
439,"FRA",29,26,0,14223,0,0,"NOATP",-0.254,"BAIX"
440,"PER",22,27,0,11602,0,2,"ATP",-0.347,"BAIX"
441,"ARG",28,6,0,10015,0,0,"NOATP",-0.403,"BAIX"
442,"FRA",21,23,0,13051,0,0,"NOATP",-0.296,"BAIX"
443,"ESP",29,9,0,11206,0,0,"NOATP",-0.361,"BAIX"
444,"SWE",19,12,0,58860,2,5,"ATP",1.328,"MIG"
445,"USA",27,16,0,11732,0,0,"NOATP",-0.343,"BAIX"
446,"CRO",24,25,0,12704,0,0,"NOATP",-0.308,"BAIX"
447,"USA",25,29,0,48660,0,1,"ATP",0.966,"MIG-BAIX"
448,"AUT",30,9,0,117807,0,3,"ATP",3.417,"ALT"
449,"FRA",23,16,0,52795,0,1,"ATP",1.113,"MIG-BAIX"
450,"FRA",23,23,0,12666,0,0,"NOATP",-0.309,"BAIX"
451,"ESP",23,23,0,10881,0,0,"NOATP",-0.373,"BAIX"
452,"CHI",24,14,0,9600,0,0,"NOATP",-0.418,"BAIX"
453,"CHN",28,21,0,19468,0,0,"NOATP",-0.068,"BAIX"
454,"BEL",26,23,0,36279,0,0,"NOATP",0.527,"MIG-BAIX"
455,"ITA",28,25,0,12465,0,0,"NOATP",-0.317,"BAIX"
456,"FRA",24,26,0,15134,0,0,"NOATP",-0.222,"BAIX"
457,"ARG",21,27,0,11101,0,0,"NOATP",-0.365,"BAIX"
458,"ESP",27,31,0,27655,0,0,"NOATP",0.222,"BAIX"
459,"GER",27,10,0,11551,0,0,"NOATP",-0.349,"BAIX"
460,"ESP",24,16,0,11556,0,0,"NOATP",-0.349,"BAIX"
461,"ROU",25,19,0,11922,0,1,"ATP",-0.336,"BAIX"
462,"FRA",20,22,0,11969,0,0,"NOATP",-0.334,"BAIX"
463,"ITA",26,26,0,11949,0,0,"NOATP",-0.335,"BAIX"
464,"CZE",35,21,0,13381,0,0,"NOATP",-0.284,"BAIX"
465,"BRA",24,23,0,9910,0,0,"NOATP",-0.407,"BAIX"
466,"FRA",27,15,0,10245,0,0,"NOATP",-0.395,"BAIX"
467,"ESP",18,15,0,11300,0,0,"NOATP",-0.358,"BAIX"
468,"ARG",25,19,0,27518,0,1,"ATP",0.217,"BAIX"
469,"FRA",20,21,0,12917,0,0,"NOATP",-0.301,"BAIX"
470,"JPN",30,23,0,19414,0,0,"NOATP",-0.07,"BAIX"
471,"POR",32,29,0,12670,0,0,"NOATP",-0.309,"BAIX"
472,"ZIM",24,29,0,11197,0,0,"NOATP",-0.361,"BAIX"
473,"ESP",22,29,0,11867,0,0,"NOATP",-0.338,"BAIX"
474,"ECU",29,20,0,8562,0,1,"ATP",-0.455,"BAIX"
475,"ITA",24,21,0,13948,0,0,"NOATP",-0.264,"BAIX"
476,"CHN",25,23,0,19824,0,0,"NOATP",-0.056,"BAIX"
477,"NED",23,23,0,7793,0,0,"NOATP",-0.482,"BAIX"
478,"FRA",28,25,0,14054,0,0,"NOATP",-0.26,"BAIX"
479,"AUT",28,19,0,10685,0,0,"NOATP",-0.38,"BAIX"
480,"NOR",20,31,0,14234,2,1,"ATP",-0.254,"BAIX"
481,"FRA",25,35,0,12229,0,0,"NOATP",-0.325,"BAIX"
482,"FRA",27,21,0,38566,0,1,"ATP",0.608,"MIG-BAIX"
483,"THA",22,22,0,11465,4,2,"ATP",-0.352,"BAIX"
484,"CZE",23,23,0,10158,0,0,"NOATP",-0.398,"BAIX"
486,"AUS",21,10,0,11500,0,0,"NOATP",-0.351,"BAIX"
487,"FRA",21,12,0,9650,0,0,"NOATP",-0.416,"BAIX"
488,"KOR",27,19,0,13910,0,0,"NOATP",-0.265,"BAIX"
489,"USA",26,19,0,10726,0,0,"NOATP",-0.378,"BAIX"
490,"ITA",26,29,0,13218,0,0,"NOATP",-0.29,"BAIX"
491,"ITA",24,11,0,8727,0,0,"NOATP",-0.449,"BAIX"
492,"BOL",29,23,0,8220,2,1,"ATP",-0.467,"BAIX"
493,"CHN",21,24,0,26999,0,0,"NOATP",0.199,"BAIX"
494,"FRA",24,24,0,13561,0,0,"NOATP",-0.278,"BAIX"
495,"ARG",19,24,0,9941,0,0,"NOATP",-0.406,"BAIX"
496,"GER",36,9,0,60768,0,3,"ATP",1.395,"MIG"
497,"AUT",18,10,0,11057,0,0,"NOATP",-0.366,"BAIX"
498,"AUS",23,10,0,11830,0,0,"NOATP",-0.339,"BAIX"
499,"SVK",19,15,0,11037,0,0,"NOATP",-0.367,"BAIX"
500,"ITA",25,33,0,12101,0,0,"NOATP",-0.329,"BAIX"
501,"GBR",25,12,0,10094,0,0,"NOATP",-0.401,"BAIX"
502,"AUS",21,27,0,19726,0,0,"NOATP",-0.059,"BAIX"
503,"ROU",32,10,0,9388,1,1,"ATP",-0.426,"BAIX"
